"","pitcher_team","xba_150_bullpen","date"
"1","ATL",0.26177304964539,"2023-05-01"
"2","AZ",0.226846715328467,"2023-05-01"
"3","BAL",0.170930769230769,"2023-05-01"
"4","BOS",0.269235294117647,"2023-05-01"
"5","CHC",0.22624,"2023-05-01"
"6","CIN",0.181484375,"2023-05-01"
"7","CLE",0.260611940298507,"2023-05-01"
"8","COL",0.236443609022556,"2023-05-01"
"9","CWS",0.254333333333333,"2023-05-01"
"10","DET",0.219132352941176,"2023-05-01"
"11","HOU",0.187933823529412,"2023-05-01"
"12","KC",0.209883211678832,"2023-05-01"
"13","LAA",0.209234848484848,"2023-05-01"
"14","LAD",0.221244444444444,"2023-05-01"
"15","MIA",0.250525547445256,"2023-05-01"
"16","MIL",0.273942857142857,"2023-05-01"
"17","MIN",0.237221374045802,"2023-05-01"
"18","NYM",0.190030534351145,"2023-05-01"
"19","NYY",0.2254921875,"2023-05-01"
"20","OAK",0.27440157480315,"2023-05-01"
"21","PHI",0.181248226950355,"2023-05-01"
"22","PIT",0.212152173913043,"2023-05-01"
"23","SD",0.231335766423358,"2023-05-01"
"24","SEA",0.247049295774648,"2023-05-01"
"25","SF",0.233246268656716,"2023-05-01"
"26","STL",0.213984615384615,"2023-05-01"
"27","TB",0.208571428571429,"2023-05-01"
"28","TEX",0.220691176470588,"2023-05-01"
"29","TOR",0.208340425531915,"2023-05-01"
"30","WSH",0.246582089552239,"2023-05-01"
"31","ATL",0.270079136690647,"2023-05-02"
"32","AZ",0.226846715328467,"2023-05-02"
"33","BAL",0.170930769230769,"2023-05-02"
"34","BOS",0.267766423357664,"2023-05-02"
"35","CHC",0.23476,"2023-05-02"
"36","CIN",0.2048203125,"2023-05-02"
"37","CLE",0.253768656716418,"2023-05-02"
"38","COL",0.236443609022556,"2023-05-02"
"39","CWS",0.254333333333333,"2023-05-02"
"40","DET",0.219132352941176,"2023-05-02"
"41","HOU",0.200102189781022,"2023-05-02"
"42","KC",0.209883211678832,"2023-05-02"
"43","LAA",0.209234848484848,"2023-05-02"
"44","LAD",0.211918518518519,"2023-05-02"
"45","MIA",0.250525547445256,"2023-05-02"
"46","MIL",0.273942857142857,"2023-05-02"
"47","MIN",0.237221374045802,"2023-05-02"
"48","NYM",0.180451851851852,"2023-05-02"
"49","NYY",0.230692913385827,"2023-05-02"
"50","OAK",0.27440157480315,"2023-05-02"
"51","PHI",0.204845588235294,"2023-05-02"
"52","PIT",0.212152173913043,"2023-05-02"
"53","SD",0.222521739130435,"2023-05-02"
"54","SEA",0.247049295774648,"2023-05-02"
"55","SF",0.224742424242424,"2023-05-02"
"56","STL",0.213984615384615,"2023-05-02"
"57","TB",0.208571428571429,"2023-05-02"
"58","TEX",0.220691176470588,"2023-05-02"
"59","TOR",0.210566433566434,"2023-05-02"
"60","WSH",0.240192592592593,"2023-05-02"
"61","ATL",0.259514492753623,"2023-05-03"
"62","AZ",0.233548148148148,"2023-05-03"
"63","BAL",0.178129770992366,"2023-05-03"
"64","BOS",0.275463768115942,"2023-05-03"
"65","CHC",0.235653543307087,"2023-05-03"
"66","CIN",0.1943984375,"2023-05-03"
"67","CLE",0.270874074074074,"2023-05-03"
"68","COL",0.238573529411765,"2023-05-03"
"69","CWS",0.250507575757576,"2023-05-03"
"70","DET",0.219132352941176,"2023-05-03"
"71","HOU",0.202238805970149,"2023-05-03"
"72","KC",0.210238805970149,"2023-05-03"
"73","LAA",0.188940740740741,"2023-05-03"
"74","LAD",0.204902985074627,"2023-05-03"
"75","MIA",0.248212121212121,"2023-05-03"
"76","MIL",0.26385,"2023-05-03"
"77","MIN",0.257038461538462,"2023-05-03"
"78","NYM",0.180451851851852,"2023-05-03"
"79","NYY",0.235007936507937,"2023-05-03"
"80","OAK",0.2718984375,"2023-05-03"
"81","PHI",0.239080291970803,"2023-05-03"
"82","PIT",0.195874074074074,"2023-05-03"
"83","SD",0.229802919708029,"2023-05-03"
"84","SEA",0.247721428571429,"2023-05-03"
"85","SF",0.22125,"2023-05-03"
"86","STL",0.221423076923077,"2023-05-03"
"87","TB",0.217480620155039,"2023-05-03"
"88","TEX",0.216753731343284,"2023-05-03"
"89","TOR",0.203791666666667,"2023-05-03"
"90","WSH",0.255380597014925,"2023-05-03"
"91","ATL",0.258942446043165,"2023-05-04"
"92","AZ",0.235097014925373,"2023-05-04"
"93","BAL",0.193068181818182,"2023-05-04"
"94","BOS",0.276678832116788,"2023-05-04"
"95","CHC",0.242790697674419,"2023-05-04"
"96","CIN",0.22151968503937,"2023-05-04"
"97","CLE",0.287007407407407,"2023-05-04"
"98","COL",0.246893129770992,"2023-05-04"
"99","CWS",0.243526717557252,"2023-05-04"
"100","DET",0.224419117647059,"2023-05-04"
"101","HOU",0.199335820895522,"2023-05-04"
"102","KC",0.202880597014925,"2023-05-04"
"103","LAA",0.190807407407407,"2023-05-04"
"104","LAD",0.207231343283582,"2023-05-04"
"105","MIA",0.253,"2023-05-04"
"106","MIL",0.278921428571429,"2023-05-04"
"107","MIN",0.263480916030534,"2023-05-04"
"108","NYM",0.176470588235294,"2023-05-04"
"109","NYY",0.240480916030534,"2023-05-04"
"110","OAK",0.28046875,"2023-05-04"
"111","PHI",0.254917910447761,"2023-05-04"
"112","PIT",0.202553956834532,"2023-05-04"
"113","SD",0.232369565217391,"2023-05-04"
"114","SEA",0.237280575539568,"2023-05-04"
"115","SF",0.213992366412214,"2023-05-04"
"116","STL",0.225427480916031,"2023-05-04"
"117","TB",0.223883720930233,"2023-05-04"
"118","TEX",0.228442748091603,"2023-05-04"
"119","TOR",0.213503546099291,"2023-05-04"
"120","WSH",0.238360902255639,"2023-05-04"
"121","ATL",0.259625899280576,"2023-05-05"
"122","AZ",0.235097014925373,"2023-05-05"
"123","BAL",0.196606060606061,"2023-05-05"
"124","BOS",0.2793,"2023-05-05"
"125","CHC",0.241068702290076,"2023-05-05"
"126","CIN",0.22151968503937,"2023-05-05"
"127","CLE",0.287007407407407,"2023-05-05"
"128","COL",0.240129770992366,"2023-05-05"
"129","CWS",0.224465648854962,"2023-05-05"
"130","DET",0.222544117647059,"2023-05-05"
"131","HOU",0.199335820895522,"2023-05-05"
"132","KC",0.203022900763359,"2023-05-05"
"133","LAA",0.192971014492754,"2023-05-05"
"134","LAD",0.207231343283582,"2023-05-05"
"135","MIA",0.255159090909091,"2023-05-05"
"136","MIL",0.280463235294118,"2023-05-05"
"137","MIN",0.255875968992248,"2023-05-05"
"138","NYM",0.191455223880597,"2023-05-05"
"139","NYY",0.240480916030534,"2023-05-05"
"140","OAK",0.28506976744186,"2023-05-05"
"141","PHI",0.254917910447761,"2023-05-05"
"142","PIT",0.197941605839416,"2023-05-05"
"143","SD",0.232369565217391,"2023-05-05"
"144","SEA",0.23073381294964,"2023-05-05"
"145","SF",0.213992366412214,"2023-05-05"
"146","STL",0.229272727272727,"2023-05-05"
"147","TB",0.218265625,"2023-05-05"
"148","TEX",0.228442748091603,"2023-05-05"
"149","TOR",0.211446808510638,"2023-05-05"
"150","WSH",0.247318181818182,"2023-05-05"
"151","ATL",0.239572463768116,"2023-05-06"
"152","AZ",0.223404411764706,"2023-05-06"
"153","BAL",0.216526717557252,"2023-05-06"
"154","BOS",0.275453237410072,"2023-05-06"
"155","CHC",0.235175572519084,"2023-05-06"
"156","CIN",0.212428571428571,"2023-05-06"
"157","CLE",0.274711111111111,"2023-05-06"
"158","COL",0.246684615384615,"2023-05-06"
"159","CWS",0.213603053435114,"2023-05-06"
"160","DET",0.245536764705882,"2023-05-06"
"161","HOU",0.211688888888889,"2023-05-06"
"162","KC",0.232560606060606,"2023-05-06"
"163","LAA",0.196289855072464,"2023-05-06"
"164","LAD",0.189687022900763,"2023-05-06"
"165","MIA",0.24609022556391,"2023-05-06"
"166","MIL",0.264813432835821,"2023-05-06"
"167","MIN",0.249969230769231,"2023-05-06"
"168","NYM",0.196007518796992,"2023-05-06"
"169","NYY",0.228738461538462,"2023-05-06"
"170","OAK",0.272336,"2023-05-06"
"171","PHI",0.244386363636364,"2023-05-06"
"172","PIT",0.196845588235294,"2023-05-06"
"173","SD",0.212514492753623,"2023-05-06"
"174","SEA",0.232855072463768,"2023-05-06"
"175","SF",0.217098484848485,"2023-05-06"
"176","STL",0.246992248062016,"2023-05-06"
"177","TB",0.232062015503876,"2023-05-06"
"178","TEX",0.263481203007519,"2023-05-06"
"179","TOR",0.195830985915493,"2023-05-06"
"180","WSH",0.248187969924812,"2023-05-06"
"181","ATL",0.23910071942446,"2023-05-07"
"182","AZ",0.233420289855072,"2023-05-07"
"183","BAL",0.215015267175573,"2023-05-07"
"184","BOS",0.252536231884058,"2023-05-07"
"185","CHC",0.228751879699248,"2023-05-07"
"186","CIN",0.233736,"2023-05-07"
"187","CLE",0.273492647058824,"2023-05-07"
"188","COL",0.246076923076923,"2023-05-07"
"189","CWS",0.216862595419847,"2023-05-07"
"190","DET",0.254511111111111,"2023-05-07"
"191","HOU",0.233485294117647,"2023-05-07"
"192","KC",0.236748091603053,"2023-05-07"
"193","LAA",0.194892086330935,"2023-05-07"
"194","LAD",0.186550387596899,"2023-05-07"
"195","MIA",0.238863636363636,"2023-05-07"
"196","MIL",0.257445255474453,"2023-05-07"
"197","MIN",0.247492307692308,"2023-05-07"
"198","NYM",0.19575,"2023-05-07"
"199","NYY",0.236406015037594,"2023-05-07"
"200","OAK",0.268155737704918,"2023-05-07"
"201","PHI",0.24877519379845,"2023-05-07"
"202","PIT",0.199090909090909,"2023-05-07"
"203","SD",0.206160583941606,"2023-05-07"
"204","SEA",0.241280575539568,"2023-05-07"
"205","SF",0.231581395348837,"2023-05-07"
"206","STL",0.233914728682171,"2023-05-07"
"207","TB",0.252930769230769,"2023-05-07"
"208","TEX",0.265774436090226,"2023-05-07"
"209","TOR",0.17577304964539,"2023-05-07"
"210","WSH",0.259969696969697,"2023-05-07"
"211","ATL",0.232485714285714,"2023-05-08"
"212","AZ",0.252262773722628,"2023-05-08"
"213","BAL",0.217642335766423,"2023-05-08"
"214","BOS",0.255392857142857,"2023-05-08"
"215","CHC",0.247576642335766,"2023-05-08"
"216","CIN",0.256480620155039,"2023-05-08"
"217","CLE",0.268149253731343,"2023-05-08"
"218","COL",0.234985185185185,"2023-05-08"
"219","CWS",0.209938461538462,"2023-05-08"
"220","DET",0.30003007518797,"2023-05-08"
"221","HOU",0.235637037037037,"2023-05-08"
"222","KC",0.224856060606061,"2023-05-08"
"223","LAA",0.213578571428571,"2023-05-08"
"224","LAD",0.178210526315789,"2023-05-08"
"225","MIA",0.239801526717557,"2023-05-08"
"226","MIL",0.268391304347826,"2023-05-08"
"227","MIN",0.239484615384615,"2023-05-08"
"228","NYM",0.224777777777778,"2023-05-08"
"229","NYY",0.23344696969697,"2023-05-08"
"230","OAK",0.274341463414634,"2023-05-08"
"231","PHI",0.244046511627907,"2023-05-08"
"232","PIT",0.202186567164179,"2023-05-08"
"233","SD",0.200074626865672,"2023-05-08"
"234","SEA",0.23555,"2023-05-08"
"235","SF",0.228888,"2023-05-08"
"236","STL",0.245569230769231,"2023-05-08"
"237","TB",0.23446875,"2023-05-08"
"238","TEX",0.271274074074074,"2023-05-08"
"239","TOR",0.187521126760563,"2023-05-08"
"240","WSH",0.236290322580645,"2023-05-08"
"241","ATL",0.232485714285714,"2023-05-09"
"242","AZ",0.258832116788321,"2023-05-09"
"243","BAL",0.221503597122302,"2023-05-09"
"244","BOS",0.255392857142857,"2023-05-09"
"245","CHC",0.248642335766423,"2023-05-09"
"246","CIN",0.256480620155039,"2023-05-09"
"247","CLE",0.280276119402985,"2023-05-09"
"248","COL",0.228723880597015,"2023-05-09"
"249","CWS",0.213684615384615,"2023-05-09"
"250","DET",0.299125,"2023-05-09"
"251","HOU",0.242646616541353,"2023-05-09"
"252","KC",0.238961240310078,"2023-05-09"
"253","LAA",0.206704225352113,"2023-05-09"
"254","LAD",0.18439552238806,"2023-05-09"
"255","MIA",0.239789473684211,"2023-05-09"
"256","MIL",0.277985507246377,"2023-05-09"
"257","MIN",0.239484615384615,"2023-05-09"
"258","NYM",0.224777777777778,"2023-05-09"
"259","NYY",0.234106060606061,"2023-05-09"
"260","OAK",0.269346774193548,"2023-05-09"
"261","PHI",0.244046511627907,"2023-05-09"
"262","PIT",0.202186567164179,"2023-05-09"
"263","SD",0.200074626865672,"2023-05-09"
"264","SEA",0.225212765957447,"2023-05-09"
"265","SF",0.221388888888889,"2023-05-09"
"266","STL",0.240576923076923,"2023-05-09"
"267","TB",0.240893939393939,"2023-05-09"
"268","TEX",0.250007407407407,"2023-05-09"
"269","TOR",0.187521126760563,"2023-05-09"
"270","WSH",0.228306451612903,"2023-05-09"
"271","ATL",0.238381294964029,"2023-05-10"
"272","AZ",0.254158273381295,"2023-05-10"
"273","BAL",0.220985074626866,"2023-05-10"
"274","BOS",0.277072463768116,"2023-05-10"
"275","CHC",0.240371428571429,"2023-05-10"
"276","CIN",0.2778984375,"2023-05-10"
"277","CLE",0.288278195488722,"2023-05-10"
"278","COL",0.208133333333333,"2023-05-10"
"279","CWS",0.213515384615385,"2023-05-10"
"280","DET",0.295058823529412,"2023-05-10"
"281","HOU",0.239037593984962,"2023-05-10"
"282","KC",0.238961240310078,"2023-05-10"
"283","LAA",0.215307692307692,"2023-05-10"
"284","LAD",0.181903703703704,"2023-05-10"
"285","MIA",0.245731343283582,"2023-05-10"
"286","MIL",0.280165413533835,"2023-05-10"
"287","MIN",0.239703125,"2023-05-10"
"288","NYM",0.220473282442748,"2023-05-10"
"289","NYY",0.256705426356589,"2023-05-10"
"290","OAK",0.28252380952381,"2023-05-10"
"291","PHI",0.241062015503876,"2023-05-10"
"292","PIT",0.224846153846154,"2023-05-10"
"293","SD",0.203333333333333,"2023-05-10"
"294","SEA",0.207107142857143,"2023-05-10"
"295","SF",0.216535433070866,"2023-05-10"
"296","STL",0.2398,"2023-05-10"
"297","TB",0.243522727272727,"2023-05-10"
"298","TEX",0.252022388059702,"2023-05-10"
"299","TOR",0.210741007194245,"2023-05-10"
"300","WSH",0.240736,"2023-05-10"
"301","ATL",0.209797101449275,"2023-05-11"
"302","AZ",0.247821428571429,"2023-05-11"
"303","BAL",0.215731343283582,"2023-05-11"
"304","BOS",0.267798561151079,"2023-05-11"
"305","CHC",0.252757142857143,"2023-05-11"
"306","CIN",0.273496240601504,"2023-05-11"
"307","CLE",0.297242424242424,"2023-05-11"
"308","COL",0.189290076335878,"2023-05-11"
"309","CWS",0.231083969465649,"2023-05-11"
"310","DET",0.29721897810219,"2023-05-11"
"311","HOU",0.246462121212121,"2023-05-11"
"312","KC",0.245682170542636,"2023-05-11"
"313","LAA",0.223485915492958,"2023-05-11"
"314","LAD",0.178514705882353,"2023-05-11"
"315","MIA",0.222,"2023-05-11"
"316","MIL",0.277404580152672,"2023-05-11"
"317","MIN",0.258206349206349,"2023-05-11"
"318","NYM",0.217870229007634,"2023-05-11"
"319","NYY",0.244772727272727,"2023-05-11"
"320","OAK",0.293584,"2023-05-11"
"321","PHI",0.24031007751938,"2023-05-11"
"322","PIT",0.219607692307692,"2023-05-11"
"323","SD",0.206059259259259,"2023-05-11"
"324","SEA",0.201585714285714,"2023-05-11"
"325","SF",0.231883720930233,"2023-05-11"
"326","STL",0.241807692307692,"2023-05-11"
"327","TB",0.242282442748092,"2023-05-11"
"328","TEX",0.242939393939394,"2023-05-11"
"329","TOR",0.232605839416058,"2023-05-11"
"330","WSH",0.264079365079365,"2023-05-11"
"331","ATL",0.209797101449275,"2023-05-12"
"332","AZ",0.248804347826087,"2023-05-12"
"333","BAL",0.215731343283582,"2023-05-12"
"334","BOS",0.267798561151079,"2023-05-12"
"335","CHC",0.252757142857143,"2023-05-12"
"336","CIN",0.240571428571429,"2023-05-12"
"337","CLE",0.297242424242424,"2023-05-12"
"338","COL",0.189290076335878,"2023-05-12"
"339","CWS",0.227575757575758,"2023-05-12"
"340","DET",0.29721897810219,"2023-05-12"
"341","HOU",0.246462121212121,"2023-05-12"
"342","KC",0.246748091603053,"2023-05-12"
"343","LAA",0.223485915492958,"2023-05-12"
"344","LAD",0.178514705882353,"2023-05-12"
"345","MIA",0.222,"2023-05-12"
"346","MIL",0.277404580152672,"2023-05-12"
"347","MIN",0.249814516129032,"2023-05-12"
"348","NYM",0.220333333333333,"2023-05-12"
"349","NYY",0.254135338345865,"2023-05-12"
"350","OAK",0.280968,"2023-05-12"
"351","PHI",0.24031007751938,"2023-05-12"
"352","PIT",0.219607692307692,"2023-05-12"
"353","SD",0.206330827067669,"2023-05-12"
"354","SEA",0.201585714285714,"2023-05-12"
"355","SF",0.236077519379845,"2023-05-12"
"356","STL",0.241807692307692,"2023-05-12"
"357","TB",0.250435114503817,"2023-05-12"
"358","TEX",0.236340909090909,"2023-05-12"
"359","TOR",0.232605839416058,"2023-05-12"
"360","WSH",0.264079365079365,"2023-05-12"
"361","ATL",0.214867647058824,"2023-05-13"
"362","AZ",0.260521739130435,"2023-05-13"
"363","BAL",0.223214814814815,"2023-05-13"
"364","BOS",0.285258992805755,"2023-05-13"
"365","CHC",0.261276595744681,"2023-05-13"
"366","CIN",0.237037313432836,"2023-05-13"
"367","CLE",0.290077519379845,"2023-05-13"
"368","COL",0.182763358778626,"2023-05-13"
"369","CWS",0.240485074626866,"2023-05-13"
"370","DET",0.271855072463768,"2023-05-13"
"371","HOU",0.239045112781955,"2023-05-13"
"372","KC",0.247294573643411,"2023-05-13"
"373","LAA",0.23680985915493,"2023-05-13"
"374","LAD",0.181205882352941,"2023-05-13"
"375","MIA",0.199160583941606,"2023-05-13"
"376","MIL",0.268575757575758,"2023-05-13"
"377","MIN",0.25516,"2023-05-13"
"378","NYM",0.212358778625954,"2023-05-13"
"379","NYY",0.260425373134328,"2023-05-13"
"380","OAK",0.270911290322581,"2023-05-13"
"381","PHI",0.250296875,"2023-05-13"
"382","PIT",0.232170542635659,"2023-05-13"
"383","SD",0.203703703703704,"2023-05-13"
"384","SEA",0.199464285714286,"2023-05-13"
"385","SF",0.244623076923077,"2023-05-13"
"386","STL",0.232484615384615,"2023-05-13"
"387","TB",0.235392592592593,"2023-05-13"
"388","TEX",0.243234375,"2023-05-13"
"389","TOR",0.232605839416058,"2023-05-13"
"390","WSH",0.291857142857143,"2023-05-13"
"391","ATL",0.216276119402985,"2023-05-14"
"392","AZ",0.264474820143885,"2023-05-14"
"393","BAL",0.227407407407407,"2023-05-14"
"394","BOS",0.280702898550725,"2023-05-14"
"395","CHC",0.262985611510791,"2023-05-14"
"396","CIN",0.237511278195489,"2023-05-14"
"397","CLE",0.288561538461538,"2023-05-14"
"398","COL",0.188796992481203,"2023-05-14"
"399","CWS",0.248577777777778,"2023-05-14"
"400","DET",0.254379562043796,"2023-05-14"
"401","HOU",0.247231343283582,"2023-05-14"
"402","KC",0.250087301587302,"2023-05-14"
"403","LAA",0.243787234042553,"2023-05-14"
"404","LAD",0.190073529411765,"2023-05-14"
"405","MIA",0.195583941605839,"2023-05-14"
"406","MIL",0.246924812030075,"2023-05-14"
"407","MIN",0.240157024793388,"2023-05-14"
"408","NYM",0.245469230769231,"2023-05-14"
"409","NYY",0.259925373134328,"2023-05-14"
"410","OAK",0.266007874015748,"2023-05-14"
"411","PHI",0.258449612403101,"2023-05-14"
"412","PIT",0.228346153846154,"2023-05-14"
"413","SD",0.190814814814815,"2023-05-14"
"414","SEA",0.2002,"2023-05-14"
"415","SF",0.249431818181818,"2023-05-14"
"416","STL",0.220272727272727,"2023-05-14"
"417","TB",0.24217037037037,"2023-05-14"
"418","TEX",0.2523828125,"2023-05-14"
"419","TOR",0.219417910447761,"2023-05-14"
"420","WSH",0.292417322834646,"2023-05-14"
"421","ATL",0.223022900763359,"2023-05-15"
"422","AZ",0.249725352112676,"2023-05-15"
"423","BAL",0.208503759398496,"2023-05-15"
"424","BOS",0.288345323741007,"2023-05-15"
"425","CHC",0.264934306569343,"2023-05-15"
"426","CIN",0.250216417910448,"2023-05-15"
"427","CLE",0.292603053435115,"2023-05-15"
"428","COL",0.196526315789474,"2023-05-15"
"429","CWS",0.249698529411765,"2023-05-15"
"430","DET",0.236422222222222,"2023-05-15"
"431","HOU",0.242804511278195,"2023-05-15"
"432","KC",0.229887218045113,"2023-05-15"
"433","LAA",0.252992907801418,"2023-05-15"
"434","LAD",0.185029850746269,"2023-05-15"
"435","MIA",0.194177777777778,"2023-05-15"
"436","MIL",0.253282442748092,"2023-05-15"
"437","MIN",0.234725806451613,"2023-05-15"
"438","NYM",0.247377952755906,"2023-05-15"
"439","NYY",0.243007575757576,"2023-05-15"
"440","OAK",0.2731875,"2023-05-15"
"441","PHI",0.251584615384615,"2023-05-15"
"442","PIT",0.236015037593985,"2023-05-15"
"443","SD",0.193518518518519,"2023-05-15"
"444","SEA",0.207014598540146,"2023-05-15"
"445","SF",0.245143939393939,"2023-05-15"
"446","STL",0.208069230769231,"2023-05-15"
"447","TB",0.263492647058824,"2023-05-15"
"448","TEX",0.244553846153846,"2023-05-15"
"449","TOR",0.214480916030534,"2023-05-15"
"450","WSH",0.279275590551181,"2023-05-15"
"451","ATL",0.228804511278195,"2023-05-16"
"452","AZ",0.252950354609929,"2023-05-16"
"453","BAL",0.226872180451128,"2023-05-16"
"454","BOS",0.300275362318841,"2023-05-16"
"455","CHC",0.262059259259259,"2023-05-16"
"456","CIN",0.234624060150376,"2023-05-16"
"457","CLE",0.292603053435115,"2023-05-16"
"458","COL",0.196530303030303,"2023-05-16"
"459","CWS",0.249698529411765,"2023-05-16"
"460","DET",0.236422222222222,"2023-05-16"
"461","HOU",0.231840909090909,"2023-05-16"
"462","KC",0.20365671641791,"2023-05-16"
"463","LAA",0.254106382978723,"2023-05-16"
"464","LAD",0.214718518518519,"2023-05-16"
"465","MIA",0.194177777777778,"2023-05-16"
"466","MIL",0.268216417910448,"2023-05-16"
"467","MIN",0.216,"2023-05-16"
"468","NYM",0.249515384615385,"2023-05-16"
"469","NYY",0.260924812030075,"2023-05-16"
"470","OAK",0.26530303030303,"2023-05-16"
"471","PHI",0.236684615384615,"2023-05-16"
"472","PIT",0.236015037593985,"2023-05-16"
"473","SD",0.194463235294118,"2023-05-16"
"474","SEA",0.206683823529412,"2023-05-16"
"475","SF",0.254286821705426,"2023-05-16"
"476","STL",0.216401515151515,"2023-05-16"
"477","TB",0.263492647058824,"2023-05-16"
"478","TEX",0.266507692307692,"2023-05-16"
"479","TOR",0.216282442748092,"2023-05-16"
"480","WSH",0.299165354330709,"2023-05-16"
"481","ATL",0.250360902255639,"2023-05-17"
"482","AZ",0.2523,"2023-05-17"
"483","BAL",0.227786764705882,"2023-05-17"
"484","BOS",0.308428571428571,"2023-05-17"
"485","CHC",0.264880597014925,"2023-05-17"
"486","CIN",0.226948148148148,"2023-05-17"
"487","CLE",0.292481203007519,"2023-05-17"
"488","COL",0.2061,"2023-05-17"
"489","CWS",0.246904411764706,"2023-05-17"
"490","DET",0.215558823529412,"2023-05-17"
"491","HOU",0.240074074074074,"2023-05-17"
"492","KC",0.199022727272727,"2023-05-17"
"493","LAA",0.25945,"2023-05-17"
"494","LAD",0.237301470588235,"2023-05-17"
"495","MIA",0.195639097744361,"2023-05-17"
"496","MIL",0.26262015503876,"2023-05-17"
"497","MIN",0.231031746031746,"2023-05-17"
"498","NYM",0.251170542635659,"2023-05-17"
"499","NYY",0.261888888888889,"2023-05-17"
"500","OAK",0.248890510948905,"2023-05-17"
"501","PHI",0.231320610687023,"2023-05-17"
"502","PIT",0.231105263157895,"2023-05-17"
"503","SD",0.195740740740741,"2023-05-17"
"504","SEA",0.21343795620438,"2023-05-17"
"505","SF",0.256136363636364,"2023-05-17"
"506","STL",0.203947368421053,"2023-05-17"
"507","TB",0.249496350364963,"2023-05-17"
"508","TEX",0.262736842105263,"2023-05-17"
"509","TOR",0.223730769230769,"2023-05-17"
"510","WSH",0.3026015625,"2023-05-17"
"511","ATL",0.253083333333333,"2023-05-18"
"512","AZ",0.247210144927536,"2023-05-18"
"513","BAL",0.211540740740741,"2023-05-18"
"514","BOS",0.331489208633094,"2023-05-18"
"515","CHC",0.275659259259259,"2023-05-18"
"516","CIN",0.23144696969697,"2023-05-18"
"517","CLE",0.270559701492537,"2023-05-18"
"518","COL",0.209220472440945,"2023-05-18"
"519","CWS",0.243021897810219,"2023-05-18"
"520","DET",0.223207142857143,"2023-05-18"
"521","HOU",0.237300751879699,"2023-05-18"
"522","KC",0.192705426356589,"2023-05-18"
"523","LAA",0.272872340425532,"2023-05-18"
"524","LAD",0.224102189781022,"2023-05-18"
"525","MIA",0.20418045112782,"2023-05-18"
"526","MIL",0.254330769230769,"2023-05-18"
"527","MIN",0.248088709677419,"2023-05-18"
"528","NYM",0.23292125984252,"2023-05-18"
"529","NYY",0.266644444444444,"2023-05-18"
"530","OAK",0.237529411764706,"2023-05-18"
"531","PHI",0.180563909774436,"2023-05-18"
"532","PIT",0.220812030075188,"2023-05-18"
"533","SD",0.195917910447761,"2023-05-18"
"534","SEA",0.238226277372263,"2023-05-18"
"535","SF",0.254518796992481,"2023-05-18"
"536","STL",0.208537878787879,"2023-05-18"
"537","TB",0.238808823529412,"2023-05-18"
"538","TEX",0.274530303030303,"2023-05-18"
